package	production_lines	test_lines	responsibility	large_files	delete_candidates	move_or_inline	compatibility_constraints	evidence	confidence
cmd/rm	58	54	CLI removal command that validates tracked LFS pointers and removes their Git paths without remote deletion.	rm/main.go (58)	`removal.oid` field and computed assignment at rm/main.go:35-46 are never read; deleting this field/assignment is a safe small cleanup candidate after focused test.	none beyond removing the unused local field; keep Git-only semantics at this command boundary.	`git drs rm <path>...` and non-destructive remote behavior are user-facing contracts; do not reintroduce DRS deletion here.	cmd/root.go:21,50; rm/main.go:29-58; rm/main_test.go validates path removal; rg finds no read of removal.oid.	high
cmd/smudge	89	71	Hidden Git smudge-filter command that passes pointers through or hydrates them from local cache/DRS/Terra.	smudge/main.go (89)	empty `func init() {}` at smudge/main.go:89 has no effect and is a deletion candidate.	Inline DRS OID normalization duplicates cmd/filter.normalizeDRSOID; move to one shared URI helper only if ownership is established.	Git smudge filter command and pass-through behavior when no default remote exists are compatibility contracts.	cmd/root.go:22,46; smudge/main.go:24-89; smudge test validates no-remote pass-through; rg shows duplicate normalization.	high
cmd/track	64	82	CLI adapter for Git-LFS tracking/listing with verbose and dry-run flags.	track/main.go (64)	none	`runTrack` is a thin but meaningful Cobra/stdio adapter over internal/gitrepo.TrackPatterns/ListTrackedPatterns; keep boundary validation and output handling here.	Command name, flags, argument split (no args means list), and output are CLI contracts.	cmd/root.go:28,61; track/main.go:18-64; tests replace injected function vars and assert flag propagation.	high
cmd/untrack	56	57	CLI adapter for removing Git-LFS tracking patterns with verbose and dry-run flags.	untrack/main.go (56)	none	`runUntrack` is a thin but meaningful Cobra/stdio adapter over internal/gitrepo.UntrackPatterns; no dead path evidence.	Command name, minimum-one-pattern validation, flags, and output are CLI contracts.	cmd/root.go:29,62; untrack/main.go:13-56; tests assert flag propagation and missing-pattern rejection.	high
cmd/version	54	129	CLI version command that formats build metadata from Go VCS settings.	version/main.go (54)	none	No production dead-code evidence; buildVersion is called by Cmd.Run and tested directly.	`git-drs version` output prefix and tag/commit formatting are user-facing compatibility; tests currently capture process stdout because Run uses fmt.Println.	cmd/root.go:23,47; version/main.go:11-54; version tests exercise Cmd and buildVersion.	high
internal/presets	67	38	Embedded built-in preset catalog parser/validator and alias lookup used by CLI and remote configuration.	presets.go (67); presets.yaml (data)	none	keep catalog validation here; cmd/preset and cmd/remote/add both consume Lookup/List.	CatalogVersion, YAML field names, aliases, endpoint/provider/auth values, and built-in prefix normalization are persisted/configuration compatibility.	internal/presets/presets.go:13-67; cmd/preset/root.go:7-27; cmd/remote/add/unified.go:13,34-41; presets tests validate four aliases and auth-required validation.	high
internal/testutils	152	0	Test-only shared helpers for temporary Git repositories, test config setup, and stdout capture.	config.go (113); output.go (39)	none; helper functions are imported by many `_test.go` files but no non-test production files.	none; package should remain isolated from production and is already a coherent testing boundary.	No product/runtime compatibility; helper behavior affects test isolation only.	internal/testutils/config.go:1-113; output.go:1-39; rg finds imports only from tests in cmd/remote, cmd/initialize, cmd/delete, cmd/ping, cmd/push, cmd/version, and cmd/remote/add.	high
NON_GO:coverage-artifacts	96190	0	Checked-in generated coverage profiles, HTML, and summary output; these are measurement artifacts, not product source.	coverage/unit/coverage.out (76197); coverage/combined.html (11569); coverage/combined.out (3638); coverage.out (2183); coverage/integration/coverage.out (2168); coverage/summary.txt (435)	All six non-empty tracked coverage outputs are deletion candidates: .gitignore excludes them and tests/coverage-test.sh plus tests/scripts/coverage/combine-coverage.sh regenerate them; several profiles reference historical package paths no longer present.	Keep generation scripts and CI timestamp/assertion logic; do not treat stored profiles as source or API.	No runtime compatibility; profiles are derived and may be regenerated on demand.	`.gitignore:10-12`; tests/coverage-test.sh:173-177,391; tests/scripts/coverage/combine-coverage.sh:1-59; profiles reference stale paths such as client/drs, cloud, common, drsmap, and internal/pushsync.	high
NON_GO:documentation-markdown	8613	0	Human-authored README and Markdown guides, plans, ADRs, references, and troubleshooting documentation.	docs/push-production-sync-plan.md (622); docs/anvil-terra-poc.md (569); docs/troubleshooting.md (539); docs/commands.md (519); docs/walkthrough.md (456); docs/anvil-terra-poc-presentation.md (448); 31 other Markdown files	No broad deletion candidate from LOC alone; stale claims should be corrected surgically (for example README/docs statements about push-time deletion), and historical ADR/TODO files need owner review.	Consolidate only after link/reference review; docs/index.md and mkdocs.yml define the published subset, while several ADR/POC notes are supporting design history.	Published command descriptions and user workflow guidance are compatibility documentation; stale deletion claims should be corrected, not preserved.	`docs/index.md:1-44`; `docs/github-pages.md:1-14`; `docs/push-production-sync-plan.md`; `README.md`; 37 Markdown files total including README.	high
NON_GO:documentation-binary-assets	22550	0	Binary presentation/image assets tracked alongside documentation; raw newline counts are not source LOC.	docs/git-drs-anvil.pptx (12605 raw newlines); docs/git-drs-anvil.pdf (8060); docs/anvil-data-explorer.png (1885)	none based on LOC; do not count binary bytes/newlines as code. PPTX/PDF are derived/release assets and PNG is referenced visual content.	`anvil-terra-poc-presentation.md` is the editable Marp source; PDF is linked from docs/index.md and pages docs describe generated HTML, so removal requires a publishing/release decision.	Published docs link the PDF; the binary newline counts are not meaningful source LOC and should not be used in code-size claims.	`docs/index.md:30-44`; `docs/github-pages.md:1-14`; `file` identifies PPTX/PDF/PNG binary formats.	high
NON_GO:tests-and-scripts	8755	0	Tracked end-to-end/integration test programs, shell harnesses, fixture generator, helper scripts, and test documentation under tests/.	tests/e2e-gen3-remote-full.sh (1807); tests/e2e-gen3-remote-addurl.sh (833); tests/monorepos/e2e-monorepo-remote.sh (800); tests/coverage-test.sh (391); docker_syfon integration Go tests (2355 combined); 26 shell/Makefile helpers (5715 shell/make); 6 Markdown files (669)	`tests/monorepos/clean-drs-records.sh` and `list-drs-records.sh` duplicate the canonical `tests/scripts/utils/` helpers with only default-resource behavior differences; monorepo copies have no callers beyond self-comments/docs and are cleanup candidates after confirming manual use. No whole-suite deletion candidate.	The e2e scripts are wrappers/harnesses around external DRS/Git/MinIO services, not production packages; tests/coverage-test.sh calls tests/scripts/utils and coverage scripts directly. `tests/monorepos/generate-fixtures.go` is a test-only generator and Makefile owns its lifecycle.	No product runtime compatibility; external test environment variables, cleanup behavior, and manually invoked scripts may still be relied on.	`tests/README.md:1-58`; tests/coverage-test.sh:130-197,377-391; `rg` shows canonical utility references and no callers of monorepo duplicate scripts.	medium
NON_GO:scripts	86	0	Tracked top-level AnVIL manual helper script for add-ref command generation.	scripts/anvil-add-ref-commands.sh (86)	none; it is referenced by the AnVIL implementation/presentation docs and is not production runtime.	Keep as documented manual tooling unless AnVIL workflow is retired; no package move needed.	The generated command syntax is a manual AnVIL workflow contract only.	docs/anvil-terra-poc-presentation.md:328; docs/anvil-implementation.md:152; scripts/anvil-add-ref-commands.sh:1-86.	high
NON_GO:untracked-build-artifacts	293366	0	Ignored worktree build artifacts, not tracked product files: root git-drs binary plus tests/git-drs binary.	`git-drs` (224824 raw newlines, 69M) and `tests/git-drs` (68542 raw newlines, 17M) are ignored Mach-O executables; remove/rebuild only as local cleanup, not repository deletion.	none; these are local rebuild outputs and should not enter the product inventory.	none; no source move or compatibility concern.	No source compatibility impact; `.gitignore` intentionally ignores the `git-drs` name and build outputs.	`git status --short --untracked-files=all`; `git check-ignore -v tests/git-drs` reports `.gitignore:6:git-drs`; `file` identifies both as Mach-O arm64 executables.	high
