candidate	disposition	estimated_lines	evidence	behavior_contract	verification	confidence
5 cmd/rm.removal	replace the one-field local type with []string	-4	cmd/rm/main.go:35-46 defines removal with only path, appends one value, and reads only item.path at :48-50. No other function or test observes the type.	Preserve path normalization, tracked-file validation, argument order, and the exact git rm -- argument list. Build gitArgs directly from the normalized strings.	Run go test ./cmd/rm -count=1 and a command-level test with multiple paths and one rejected untracked path.	high
6 cmd/push.syncRefState.RemoteOID	delete unread state and discard the parser result at the boundary	-2	cmd/push/sync_refs.go:9-16 declares RemoteOID and :51-56 assigns it. rg found no read of state.RemoteOID; only AckOID, AckRef, LocalRef, RemoteRef, and TargetOID are consumed by cmd/push/main.go and pushSyncAcknowledgment. Keep readRemoteSyncRefsOutput's two-value parser because cmd/push/sync_refs_test.go asserts both parsed refs.	Preserve remote-ref lookup and acknowledgement behavior. Remove only the unused field and assign the remote ref result to the blank identifier in resolveSyncRefState; do not change parser output or ls-remote matching.	Run go test ./cmd/push -run 'Test' -count=1 and the full package, including sync_refs tests.	high
7 cmd/precommit.handleDelete	remove unused context parameter	-2	cmd/precommit/cache_apply.go:46 declares handleDelete(_ context.Context, ...), and cmd/precommit/run.go:117 is its only production caller. No test calls handleDelete directly. The function performs only cache reads/removals and tombstone writing.	Preserve delete-path cleanup, OID mapping removal, and tombstone JSON. Remove the unused argument at the call and declaration while retaining context on handleUpsert and run.	Run go test ./cmd/precommit -run 'TestRunWritesTombstoneForDeletedLFSPointer' -count=1 and the full package.	high
8 addurl.runAddURL	inline the Cobra wrapper	-3	cmd/addurl/main.go:23 assigns RunE to runAddURL, and :48-50 only constructs a new service and delegates to Run. rg found no direct test or production reference to runAddURL.	Preserve command construction and per-run service dependency defaults. Use a small inline RunE closure or a direct equivalent, then delete the named wrapper and its comment.	Run go test ./cmd/addurl -run 'TestRun|TestCommand|TestAddURL' -count=1 and inspect Cobra help/flag output for add-url.	high
9 cmd/root.go command registration	consolidate repetitive AddCommand calls into one variadic call	-20	cmd/root.go:40-67 calls RootCmd.AddCommand once per command, with no interleaved mutations. Cobra AddCommand accepts variadic commands, and the existing order is explicit and stable.	Preserve registration order, hidden command flags set at :37-38, completion behavior, and every command name and alias. This is a wiring-only change.	Run go test ./cmd ./cmd/... -run 'Test' -count=1, inspect root help for command presence, and run a smoke check for hidden precommit/filter registration.	high
10 copyrecords batch-size normalization	consolidate the duplicated normalization and overwrite cap	~6	cmd/copyrecords/run.go:24-28 and :52-56 repeat the same normalizeCopyBatchSize call and overwriteExisting cap before the local-slice and paged-index paths diverge. The only policy is the 1000-record cap for overwrite requests.	Preserve non-positive defaulting, the overwriteExisting cap, page boundaries, and stats. Use one private helper returning the effective batch size or one shared normalization block without changing either scan path.	Run go test ./cmd/copyrecords -run 'Test(CopyProjectRecords|BuildMergedBatch|CmdRunE)' -count=1 and the full package.	high
11 precommit cache mutation	consolidate duplicate path/OID update logic behind an internal precommit_cache helper	~20	cmd/addurl/local_state.go:119-140 and cmd/precommit/cache_apply.go:20-40 both read the previous path entry, write the new path entry, upsert the OID mapping, and remove the stale mapping when the OID changes. The add-url path additionally carries externalURL; precommit uses an empty external URL.	Preserve path-entry JSON, OID mapping filenames, content-change detection, stale mapping removal, add-url external_url recording, and all existing error wrapping. Keep repoRelativePath and add-url cache-directory logging at their command boundary, and make the shared helper accept an already repository-relative path.	Add table tests for unchanged and changed OIDs with and without external URLs. Run go test ./internal/precommit_cache ./cmd/addurl ./cmd/precommit -count=1 and the full repository suite.	medium-high
12 bucket visibility selection	consolidate only the shared selection policy, not transport or error text	~35	cmd/remote/add/bucket_lookup.go:16-56 and internal/remoteruntime/bucket_lookup.go:34-64 both compute project/org resource matches, preferred-bucket handling, ambiguity, and no-match outcomes. cmd/ping/main.go:269-287 repeats the request, resource, match, and ambiguity path with intentionally different no-preference semantics. internal/bucketselection/bucketselection.go:10-32 already owns sorted, deduplicated resource matches.	Preserve remote/add and remoteruntime project-first organization fallback, preferred bucket matching, sorted candidates, and exact errors. Preserve ping's single project-resource lookup and its output-specific errors. Share a pure selector with an explicit policy mode only after tests define these differences.	Add table tests covering project match, organization fallback, preferred match/mismatch, ambiguity, no match, and ping behavior. Run go test ./internal/remoteruntime ./cmd/remote/add ./cmd/ping -count=1 in an environment that permits httptest listeners.	medium
13 remote/add ConfigureGen3 state	remove global save/restore and pass selected bucket into gen3Init	-6	cmd/remote/add/api.go:18-31 saves and mutates fenceToken and selectedBucket globals before calling gen3Init. gen3.go:40 passes the CLI token as an argument, while gen3.go:53-124 reads selectedBucket from package state. client/etl.go:38 calls ConfigureGen3 as an embedded API boundary.	Preserve CLI and embedded Gen3 token and bucket selection while making nested or concurrent ConfigureGen3 calls independent. Add a selected-bucket parameter to gen3Init, pass the Cobra value at gen3.go:40 and opts.Bucket at api.go:31, then delete the temporary global mutation and restore closure.	Run go test ./cmd/remote/add ./client -run 'Test(AddCmd|Gen3Cmd|ConfigureGen3|ParseScopeArg)' -count=1 and the bucket-resolution tests.	high
14 bucket HTTP setup	consolidate repeated timeout/client construction in upsertServerBucket and addServerBucketScope	~12	cmd/bucket/main.go:289-319 repeats deadline creation, defaultBucketAPITimeout, syclient.New, bearer auth, and newBucketHTTPClient. The request methods diverge only after the client is built at :303 and :324-334.	Preserve caller deadlines, 30-second default timeout, bearer token, injected HTTP client, Syfon endpoint construction, and distinct request error prefixes. Use one small boundary helper that returns the timed context, client, and cancel function without hiding request-specific behavior.	Run go test ./cmd/bucket -run 'Test(AddServerBucketScope|UpsertServerBucket)' -count=1 and the full package. The focused bucket package passed in the baseline.	medium-high
15 bucket scope command factory	factor duplicated add-organization/add-project Cobra wiring	~12	cmd/bucket/main.go:149-175 defines two commands with identical optional-remote arg validation and RunE shape, differing only in Use, Short, and requireProject. cmd/bucket/main.go:349-357 already loops over both commands to install the same flags.	Preserve command names/help, shared flag defaults, optional remote resolution, and addScope's project-required versus project-forbidden validation. A private factory should capture only the boolean policy and metadata.	Run go test ./cmd/bucket -count=1 and inspect `git drs bucket --help`, `add-organization --help`, and `add-project --help`.	medium-high
16 pull RunE orchestration	split the 220-line command body into ordered phases	~0 net	cmd/pull/main.go:58-277 combines inventory/dry-run, remote capability checks, prefetch, Globus batching, per-pointer downloads, placeholder checksum persistence, checkout, and index refresh. The existing helpers at :313-690 already expose natural phase boundaries, but the entrypoint still carries all sequencing and error policy.	Preserve dry-run short-circuiting, prefetch-before-download behavior, duplicate OID suppression, Globus progress events, invalid-cache removal, placeholder checksum persistence, read-only checkout modes, and final Git index refresh. Extract phase helpers only when their inputs and output state are explicit.	Run go test ./cmd/pull -count=1, the direct importer packages internal/transfer and internal/lookup, and full integration tests where remote access is available. Existing cmd/pull tests passed in the baseline.	medium
17 copyrecords RunE dispatch	split local/remote argument dispatch from copy execution	~0 net	cmd/copyrecords/main.go:50-190 mixes Cobra argument decoding, local sentinel validation, source/target client construction, include-path SHA lookup, paged versus in-memory copy, stats logging, and early returns. The execution functions already live in cmd/copyrecords/run.go:24-208.	Preserve local/local rejection, same-remote rejection, source remote diagnostics, include-path filtering, target-local writes, overwrite options, and stats fields. Extract a command-input/result phase without changing the existing copy functions or their injectable test seams.	Run go test ./cmd/copyrecords -count=1 and command-level local-source, local-target, same-remote, missing-remote, and paged-source tests.	medium
18 add-url source parsing	parse source kind once at the CLI boundary	~0 net	cmd/addurl/input.go:66-95 parses source URLs in resolvePathArg, looksLikeCloudURL, and isGlobusURL. cmd/addurl/run.go:65 reparses to choose Globus, cmd/addurl/inspect.go:31 reparses to classify cloud URLs, and cmd/addurl/local_state.go:63-67 reparses objectPath to choose the access method.	Preserve accepted schemes, object-key path derivation, malformed URL handling, Globus validation, S3-only server inspection, and S3-versus-Globus access method selection. Introduce a typed source classification only if it reduces repeated parsing without changing error timing.	Add a matrix test for s3, gs, gcs, azblob, https, globus, object-key, malformed, and unsupported schemes. Run go test ./cmd/addurl -count=1 and the full add-url integration suite.	medium-low
