subject	verdict	corrected_disposition	corrected_removable_loc	evidence	risk	verification
cmd/copyrecords	AGREES	inline/merge	31	The only safe transport substitution is rawIndexAPI.List: IndexService.List builds the identical hash/url/org/project/limit/start-or-page query and uses the same generated client/APIError path; bulk document/hash/create/overwrite endpoints and all merge/LFS/local behavior remain local.	Keep the local copyRecord conversion and indexAPI boundary; a wholesale upstream command replacement lacks @local, reconciliation, and bulk semantics.	Compile-only suite PASS; full focused run reached local tests but httptest binding was sandbox-blocked.
SYMBOL:cmd/copyrecords/rawIndexAPI.List	AGREES	replace/direct-import	31	IndexService.List has the same option precedence and server scope as the current adapter; convert its InternalRecord slice into copyRecord for existing merge logic.	The service response type differs, so deleting the adapter without retaining conversion and changing the production factory would break callers/tests.	Compile-only suite PASS; network-backed test sandbox-blocked at httptest.NewServer.
SYMBOL:cmd/copyrecords/rawIndexAPI.Bulk*	AGREES	keep	0	Upstream IndexService has no BulkDocuments, BulkHashes, BulkCreate, or BulkOverwrite methods; local generated InternalAPI calls implement required copy-record operations.	Removing these calls drops batching, overwrite retry, and response statistics.	Compile-only suite PASS.
SYMBOL:cmd/copyrecords/merge+local	AGREES	keep	0	Conflict merge, controlled-access rewriting, local LFS inventory, @local targets, and DRS object writes have no upstream command/service replacement.	Replacing them changes reconciliation and local metadata behavior.	Focused assigned-package tests were reported green.
cmd/credentialhelper	AGREES	keep	0	The hidden Git credential-helper subprocess protocol, stdin/stdout output, repo-local precedence, and LFS URL synchronization are local contracts; client config/request auth do not implement Git's helper protocol.	Replacing it would break Git credential invocation and basic/token precedence.	Focused assigned-package tests were reported green; compile-only suite PASS.
cmd/delete	DISAGREES	keep	0	The proposed Index.DeleteByQuery(Hash, HashType, scope) is not equivalent to current InternalBulkDeleteHashes. Pinned upstream server InternalDeleteByQuery ignores hash/hash_type and calls DeleteBulkByScope, while bulk delete calls DeleteObjectsByChecksums across the supplied hashes (internal/httpapi/records_routes.go:164-212).	The proposed call can delete every record in the project instead of only the requested checksum; current confirmation and hash-wide semantics must remain until a scoped hash-delete client method exists.	Compile-only suite PASS; existing endpoint characterization test was sandbox-blocked at httptest.NewServer.
SYMBOL:cmd/delete/deleteByHash	DISAGREES	keep	0	Current code intentionally posts /index/bulk/delete with hashes only; IndexService.DeleteByQuery sends DELETE /index query parameters but the pinned server implementation discards hash/hash_type and performs scope deletion.	Changing endpoint/method changes exact deletion scope and is unsafe despite identical DeleteByQueryResponse shapes.	Compile-only suite PASS; endpoint test sandbox-blocked.
cmd/deleteproject	DISAGREES	keep	0	Local command already uses client.Index().DeleteByQuery for records in configured organization/project. Upstream cmd/deleteproject changes the CLI to exact organization/project, removes --remote/--confirm compatibility, and Buckets().DeleteProjectData additionally removes project bucket scopes and applies project-write authorization (upstream cmd/deleteproject/main.go:11-44; client/services/buckets_service.go:94-104; internal/httpapi/buckets_routes.go:42-63).	Do not import upstream cmd code or replace record-only deletion with DeleteProjectData: it changes CLI shape and destructive server-side scope by deleting mappings as well as records.	Compile-only suite PASS; no package tests.
cmd/ping	DISAGREES	inline/merge	0	The normal health branch already calls client.Health().Ping, but the command also renders Git remote/auth/storage state, preserves ping [remote-name], checks configured bucket/project access, and has a Terra service-info branch.	The 8-line pingHealth claim is not removable: inlining a service call would retain the Terra branch and wrapper logic, while upstream cmd/ping drops all local status/scope behavior.	Compile-only suite PASS; Terra httptest test sandbox-blocked.
SYMBOL:cmd/ping/pingHealth	DISAGREES	keep	0	pingHealth is a mixed helper: normal remotes already use Health().Ping, while read-only Terra remotes must call /ga4gh/drs/v1/service-info and return service-info output.	Replacing the helper with Health().Ping breaks Terra compatibility; moving the branch does not produce net removable command behavior.	Compile-only suite PASS; Terra httptest test sandbox-blocked.
SYMBOL:cmd/ping/checkScopeAccess	AGREES	keep	0	Scope checking combines upstream Buckets().List/Index().List primitives with local configured-bucket consistency, normalized resource matching, and project readability policy.	No upstream command performs this three-way validation; deleting it loses local access diagnostics.	Focused assigned-package tests were reported green.
cmd/query	AGREES	keep	0	The ID path can use DRS().GetObject, but Git remote selection, compact/pretty rendering, checksum lookup, DRS conversion, access/scope filtering, and errors remain local.	Replacing lookup with IndexService.List changes checksum/scope conversion and output behavior.	Focused assigned-package tests were reported green; compile-only suite PASS.
cmd/remote	AGREES	keep	0	Typed Git remotes, default selection/repair, provider variants, shared policy, and Git config persistence are outside upstream client.Config, which stores HTTP credential profiles.	Replacing this command changes repository configuration and remote-selection contracts.	Focused assigned-package tests were reported green; compile-only suite PASS.
cmd/remote/add	DISAGREES	inline/merge	59	The 65-line package claim overstates the safe deletion; only the two manual /data/buckets request/decoder blocks in resolveBucketScopeFromServer and resolveBucketScopeFromLocalServer overlap Buckets().List. Selection, preferred-bucket/ambiguity errors, scope fallback, and all persistence remain local.	Construct bearer/basic clients with preserved context/timeout behavior and retain local error wrapping; the upstream service requires JSON response content type and normalizes errors, so it is not a drop-in wholesale command replacement.	Compile-only suite PASS; network-backed resolver tests were sandbox-blocked at httptest.NewServer.
SYMBOL:cmd/remote/add/resolveBucketScopeFromServer+LocalServer	AGREES	replace/direct-import	59	Both helpers list the same visible bucket payload; client.Buckets().List can replace only manual request/auth/status/JSON plumbing, while resolveBucketFromPayload and chooseVisibleBucket preserve exact org/project fallback, preferred selection, sorting, and ambiguity behavior.	Preserve the Gen3 60-second caller deadline, local-server basic-auth behavior, no-content-type compatibility if required by existing fixtures, and current diagnostic prefixes; do not delete selection logic.	Compile-only suite PASS; resolver tests sandbox-blocked at httptest.NewServer.
SYMBOL:cmd/remote/add/persist+configureRepoRemote	AGREES	keep	0	Persistence writes typed git-drs remote config, Git LFS URL/helper, and checkout/smudge settings; upstream client.Config and Client.New own no repository or Git side effects.	Replacing it breaks clone/push/pull configuration.	Focused assigned-package tests were reported green.
