subject	verdict	corrected_disposition	corrected_removable_loc	evidence	risk	verification
SYMBOL: internal/filter.CleanContent	AGREES	keep	0	CleanContent hashes/stages payloads, passes through valid pointers, restores indexed DRS pointers, and writes DRS sidecar JSON (internal/filter/clean.go:22-189); caller is cmd/clean/main.go and cmd/filter/main.go. Upstream transfer upload/download has no Git index lookup, pointer wire-format validation, or DRS map persistence.	Replacing it would turn hydrated DRS pointers into SHA256 pointers or alter staged identity/cache behavior.	Focused internal/filter tests PASS.
internal/gitrepo	AGREES	keep	0	Local package owns Git repository/config discovery, drs.bucketmap mappings, .gitattributes routes/tracking, remote LFS/auth keys, credential-helper wiring, and hook paths (internal/gitrepo/*.go); callers span initialize, track/untrack, remote add, bucket, credentialhelper, transfer, and filter. Upstream client/common, request, cloud, and transfer packages expose HTTP/retry/cloud primitives only and contain no Git config/attributes APIs.	Removal risks persisted drs.bucketmap.*, drs.remote.*, remote.*.lfsurl, credential.helper/useHttpPath, and .gitattributes route contracts.	Focused package suite PASS; exact-name scan found no upstream Git repository/config equivalent.
SYMBOL: internal/gitrepo.ResolveBucketScope	AGREES	keep	0	Local ResolveBucketScope combines persisted org/project bucket mappings with project-over-org prefix composition and configured fallback (internal/gitrepo/bucket_scope.go:13-112), called by addurl, remote/add, and remoteruntime. Upstream access.ResourceScope/ResourcePath (client/access/resources.go:9-23,169-192) parse authorization resource paths, not storage bucket mappings.	Conflating authz paths with bucket routing would change persisted clone-local storage selection.	Focused internal/gitrepo tests PASS.
SYMBOL: internal/gitrepo.TrackPatterns	AGREES	keep	0	Local TrackPatterns merges .gitattributes and writes filter=drs diff=drs merge=drs -text rules with list/untrack/dry-run behavior (internal/gitrepo/gitattributes_tracking.go:14-238), called by cmd/track and cmd/untrack. Upstream transfer APIs do not manipulate Git attributes.	Removing it breaks future Git clean/smudge registration for tracked repositories.	Focused internal/gitrepo tests PASS.
SYMBOL: internal/gitrepo.ConfigureCredentialHelperForRepo	AGREES	keep	0	Local helper preserves existing multi-valued credential.helper entries, adds !git drs credential-helper idempotently, and sets useHttpPath=true (internal/gitrepo/lfs_auth.go:64-99); caller is cmd/remote/add/persist.go. Upstream client/config stores user credential profiles and request/auth applies HTTP auth, but neither installs repository-local Git helper wiring.	Replacing it risks credential helper loss or changed Git LFS credential lookup semantics.	Focused internal/gitrepo tests PASS.
internal/lfs	AGREES	keep	0	Local package owns Git LFS/DRS pointer parsing/creation, SHA256 and DRS fanout identity, Git worktree/index/ref/history inventory, LFS-root discovery, and file verification (internal/lfs/*.go); callers include pull, push, lsfiles, addurl, clean, smudge, rm, copyrecords, delete reconciliation, and inventory. Upstream transfer engine handles generic ranged/multipart bytes and checksum verification but has no pointer parser, DRS URI identity, Git reachability/index scan, or .git cache layout.	Removing it risks .git/lfs/objects and .git/drs/lfs/objects compatibility, DRS URI cache keys, and push/delete reconciliation.	Focused package suite PASS, including pointer acceptance, cache-key golden, and history/worktree inventory tests.
SYMBOL: internal/lfs.ObjectPath	AGREES	keep	0	Local ObjectPath maps SHA256 OIDs directly and DRS URI OIDs through the namespaced git-drs-anvil-ref:v1 hash into the established fanout (internal/lfs/object_path.go:14-60), used by pull, filter, and push runtime. Upstream engine checkpoint/download paths (client/transfer/engine/chunk.go:12-44; downloader.go:39-112) identify transfer state, not Git object cache identity.	Changing derivation or fanout would orphan existing hydrated objects and DRS pointers.	Focused internal/lfs tests PASS, including DRS URI and //authority equivalence.
SYMBOL: internal/lfs.ParseLFSPointer	AGREES	keep	0	Local parser validates Git LFS v1 and calypr v1, sha256/drs OIDs, sizes, optional checksum, and placeholder marker (internal/lfs/inventory.go:523-610), used by lsfiles, filter, and transfer/delete. Upstream hash only normalizes checksum maps (client/hash/hash.go:39-199); transfer APIs accept already-resolved object IDs and do not parse pointers.	Replacing it would lose committed pointer wire-format and DRS URI acceptance rules.	Focused internal/lfs tests PASS, including terra pointer acceptance.
SYMBOL: internal/lfs.PointerInventoryForObjects	AGREES	keep	0	Local history inventory subtracts exclusions at Git-object reachability level, batch-checks small blobs, reads pointer payloads, and returns LFS/DRS metadata (internal/lfs/history.go:14-210), called by cmd/push. Upstream downloader operates on one resolved ReadBackend object and has no Git rev-list/cat-file inventory.	A byte-transfer API cannot preserve reachability/exclusion semantics that govern remote registration/deletion.	Focused internal/lfs history tests PASS.
internal/precommit_cache	AGREES	keep	0	Local cache owns .git/drs/pre-commit/v1 paths/oids/state.json, base64 path names, sha256(oid) filenames, atomic JSON, and s3_url-to-external_url compatibility (internal/precommit_cache/helpers.go:18-328); callers are addurl and precommit commands. Upstream tree has no precommit/cache package or matching symbols; transfer checkpoints use different paths and schemas.	Deleting it breaks existing clone bookkeeping and legacy decoder compatibility, even though the cache is rebuildable/non-authoritative.	Focused package suite PASS, including layout and legacy URL compatibility tests.
internal/presets	AGREES	keep	0	Local embedded presets.yaml catalog validates version/auth, resolves built-in aliases, and feeds CLI listing and unified remote creation (internal/presets/presets.go:12-67; presets.yaml:1-20). Upstream client/config credential fields and profiles have no preset catalog, alias, version, or unified remote expansion behavior.	Removing it changes shipped CLI defaults and persisted preset provenance/version semantics.	Focused package suite PASS; built-in catalog and invalid-auth tests pass.
