package	responsibility	disposition	replacement	production_loc	removable_loc	evidence	compatibility	verification	confidence
SYMBOL: internal/filter.CleanContent	Hashes/stages payloads, passes through valid pointers, restores indexed DRS pointers, and writes local DRS map JSON.	keep	No upstream equivalent; only use client/transfer engine for a download callback.	-	0	local: internal/filter/clean.go:22-130 and :133-189; callers: cmd/clean/main.go:57, cmd/filter/main.go:120; upstream transfer upload/download symbols: /private/tmp/syfon-audit-20260917/client/transfer/http.go:19-76, :78-153.	Clean output must remain a Git LFS/DRS pointer and preserve index identity after hydration; generic transfer does not know Git index or DRS map format.	Covered by focused package test command.	high
internal/gitrepo	Owns repository plumbing and all Git-facing persistence: opening repos/config, bucket-scope mapping, .gitattributes tracking/DRS routes, remote auth/LFS URLs, config helpers, and hook paths.	keep	No upstream package replacement; syfon transfer/common can be called by higher-level clients but does not own Git config or attributes.	878	0	local: bucket_map.go:9-109 and bucket_scope.go:8-112 (org/project bucket mapping), gitattributes_routes.go:11-112 and gitattributes_tracking.go:14-280 (tracking/routes), lfs_auth.go:10-114 (token/basic auth/credential helper/LFS URL), repo.go:13-140 (repo/config/hooks); production callers: cmd/bucket/main.go:200-278, cmd/addurl/{globus_recursive.go:120-387,local_state.go:165,scope.go:17}, cmd/addref/add-ref.go:105-123, cmd/track/main.go:12-13, cmd/untrack/main.go:11, cmd/initialize/main.go:53-248, cmd/remote/add/{bucket_lookup.go:13,gen3.go:45-47,local.go:35-57,persist.go:57-75,unified.go:110}, cmd/credentialhelper/main.go:57-149, internal/remoteruntime/{bucket_lookup.go:13,runtime.go:239-327}, internal/transfer/{globus.go:...,push.go:...,push_runtime.go:...}, internal/filter/{clean.go:...,skip_smudge.go:...,smudge.go:...}; upstream: /private/tmp/syfon-audit-20260917/client/common/common.go:31-65, :67-104 and client/transfer/http.go:19-153, client/transfer/retry.go:11-86 provide HTTP/retry primitives only, with no Git repository/config/.gitattributes APIs.	Persisted keys include drs.bucketmap.orgs/projects.*, drs.remote.<name>.{token,username,password,access-method,globus-*}, remote.<name>.lfsurl, filter.drs.* and .gitattributes lines `filter=drs diff=drs merge=drs -text` plus `drs=ro/rw`; credential.helper is multi-valued and useHttpPath=true. These keys and route semantics must survive any Syfon transfer adoption.	Covered by focused package test command; tests exercise bucket mapping, route/tracking, repo config, and auth helpers.	high
SYMBOL: internal/gitrepo.ResolveBucketScope	Resolves explicit org/project bucket mappings with project/org precedence, prefixes, and configured fallback validation.	keep	No upstream equivalent; client/access.ResourcePath/ResourceScope concern authorization paths, not storage bucket mapping.	-	0	local: internal/gitrepo/bucket_scope.go:13-112; callers: cmd/addurl/scope.go:17, cmd/remote/add/{gen3.go:122,local.go:35}, internal/remoteruntime/runtime.go:239-286; upstream: /private/tmp/syfon-audit-20260917/client/access/resources.go:9-23, :169-192.	Git config bucketmap keys and composed prefixes are persisted clone-local routing state; do not conflate with authz resource paths.	Covered by focused package test command.	high
SYMBOL: internal/gitrepo.TrackPatterns	Reads/merges .gitattributes, writes filter=drs diff=drs merge=drs -text rules, and supports list/untrack/dry-run behavior.	keep	No upstream equivalent; transfer engine does not manipulate attributes.	-	0	local: internal/gitrepo/gitattributes_tracking.go:14-55, :58-146, :149-238; callers: cmd/track/main.go:12-13, cmd/untrack/main.go:11, cmd/addurl/run.go:41 and cmd/addref/add-ref.go:105; upstream transfer API: /private/tmp/syfon-audit-20260917/client/transfer/types.go:26-55.	.gitattributes syntax and DRS filter registration are required for future Git clean/smudge invocations; removal breaks tracked repositories.	Covered by focused package test command.	high
SYMBOL: internal/gitrepo.ConfigureCredentialHelperForRepo	Installs idempotent repo-local !git drs credential-helper and useHttpPath=true while preserving existing helpers.	keep	No upstream equivalent; client/config.Manager stores Gen3 credentials but does not install Git helper wiring.	-	0	local: internal/gitrepo/lfs_auth.go:64-99; caller: cmd/remote/add/persist.go:57-75; upstream: /private/tmp/syfon-audit-20260917/client/config/config.go:159-223.	Git credential-helper and remote username/password/token keys are security-sensitive persisted behavior; preserve exact multi-valued helper semantics.	Covered by focused package test command.	high
internal/lfs	Owns Git LFS/DRS pointer parsing and creation, fanout/cache identity, worktree/index/ref/history inventory, LFS root discovery, and file checksum verification.	keep	Use syfon/client/hash.ConvertDrsChecksumsToHashInfo for DRS checksum conversion (already imported); no transfer-engine replacement for pointer/inventory APIs.	1068	0	local: hash.go:11-32, object_path.go:12-60, repo_paths.go:14-110, history.go:14-211, inventory.go:21-655; production callers: cmd/lsfiles/service.go:41-43 and :332, cmd/pull/main.go:43-44 and :127-608, cmd/push/main.go:29 and :84, cmd/rm/main.go:30, cmd/copyrecords/scan.go:21 and :180-191, cmd/addurl/run.go:40, cmd/clean/main.go:52, internal/filter/{clean.go:88-177,smudge.go:25-38}, internal/transfer/{delete_git_history.go:89,delete_reconcile.go:131,download.go:...,push.go:...,push_runtime.go:138-156}, inventory/inventory.go:30; upstream: /private/tmp/syfon-audit-20260917/client/hash/hash.go:83-199, client/transfer/types.go:36-55, client/transfer/download/transfer.go:18-37, client/transfer/engine/chunk.go:12-44 and engine/downloader.go:39-112.	Persisted/cache contracts: SHA256 LFS fanout under .git/lfs/objects and DRS fanout under .git/drs/lfs/objects; DRS URI cache key is sha256("git-drs-anvil-ref:v1\n"+normalized URI) at object_path.go:36-39. Pointer parser accepts Git LFS v1 and calypr v1 with oid sha256 or oid drs (inventory.go:532-595); creators emit both forms (inventory.go:612-655). Syfon transfer engine has generic ranged/single/multipart transfer and checkpoints in DATA_CLIENT_CACHE_DIR/syfon/multipart, but no pointer parser, Git history inventory, DRS identity, or worktree/index cache.	Covered by focused package test command; includes DRS URI pointer acceptance/cache-key golden tests and history/worktree inventory tests.	high
SYMBOL: internal/lfs.ObjectPath	Maps SHA256 OIDs directly and DRS URI OIDs to deterministic SHA256-shaped fanout cache paths.	keep	No upstream equivalent; syfon/client/transfer/engine.CheckpointPath is multipart upload state, not object cache identity.	-	0	local: internal/lfs/object_path.go:14-60; callers: cmd/pull/main.go:127-209 and :509-608, internal/filter/{clean.go:105-177,smudge.go:38}, internal/transfer/push_runtime.go:143; upstream: /private/tmp/syfon-audit-20260917/client/transfer/engine/chunk.go:32-44.	Changing the derivation or fanout abandons existing .git/drs/lfs/objects and hydrated DRS pointers; preserve the namespaced v1 hash.	Covered by focused package test command.	high
SYMBOL: internal/lfs.ParseLFSPointer	Parses and validates Git LFS and git-drs pointer versions, oid types, sizes, optional checksum, and placeholder marker.	keep	No upstream hash/transfer parser; client/hash handles checksum maps only.	-	0	local: internal/lfs/inventory.go:523-610; callers: cmd/lsfiles/service.go:332, internal/filter/{clean.go:88-169,smudge.go:25}, internal/transfer/delete_git_history.go:89; upstream checksum parser scope: /private/tmp/syfon-audit-20260917/client/hash/hash.go:39-58, :83-122.	Pointer wire formats and DRS URI acceptance are committed repository data; upstream hash cannot parse or hydrate them.	Covered by focused package command and terra_pointer_acceptance_test.go.	high
SYMBOL: internal/lfs.PointerInventoryForObjects	Scans reachable Git objects minus exclusions, batch-checks small blobs, and returns every reachable LFS/DRS pointer for push reconciliation.	keep	No upstream equivalent; transfer/engine.Download only operates on an already-resolved ReadBackend object.	-	0	local: internal/lfs/history.go:14-210; caller: cmd/push/main.go:84; upstream: /private/tmp/syfon-audit-20260917/client/transfer/engine/downloader.go:39-112.	Git object reachability and exclusion subtraction determine remote registration/deletion behavior; cannot be replaced by byte transfer APIs.	Covered by focused package command and history_test.go.	high
internal/precommit_cache	Owns the rebuildable repo-local pre-commit bookkeeping cache for path-to-LFS-OID and OID-to-path/external-URL associations.	keep	No upstream equivalent; retain local cache API and compatibility decoder.	328	0	local: internal/precommit_cache/helpers.go:18-91 (v1 types/layout), :93-175 (open/read/write), :177-244 (OID/path mutations), :246-328 (atomic JSON/Git discovery); production callers: cmd/addurl/local_state.go:106-165, cmd/precommit/run.go:37-105, cmd/precommit/cache_apply.go:22-57; upstream client tree has no precommit/cache package or matching symbols at 4612d42.	Persisted layout is .git/drs/pre-commit/v1/{paths,oids,state.json}; path files use base64.RawURLEncoding, OID files use sha256(oid) filenames, JSON keeps lfs_oid/paths/updated_at/content_changed and writes external_url while accepting legacy s3_url. Cache is non-authoritative and safely rebuildable, but existing clones need legacy decode.	Covered by focused package command; helpers_test.go verifies layout and s3_url to external_url compatibility.	high
internal/presets	Embeds and validates the non-secret v1 preset catalog and resolves aliases for CLI listing and unified remote creation.	keep	No upstream equivalent; no safe deletion or direct-import replacement.	67	0	local: internal/presets/presets.go:12-67 and presets.yaml:1-20; production callers: cmd/preset/root.go:13-26 and cmd/remote/add/unified.go:34-99; upstream client/config/config.go:32-42 has credential fields but no preset catalog/alias/version behavior.	Persisted/shipped format is embedded presets.yaml version 1 with alias, HTTPS endpoint, provider, auth, optional registry_service_id; it contains no secrets and is expanded into repo-local remote config by unified add.	Covered by focused package command; presets_test.go validates four built-ins and rejects missing auth.	high
