package	responsibility	disposition	replacement	production_loc	removable_loc	evidence	compatibility	verification	confidence
cmd/pull	The pull command hydrates selected Git-LFS/DRS pointers, resolves access URLs, downloads/verifies cache objects, updates placeholder checksums, checks out files, and refreshes the Git index. keep (direct-import client transfer primitives)	keep	Keep Git orchestration; upstream client/services/drs_service.go:22-56 `GetObject`/`GetAccessURL`, client/services/data_stream.go:23-100 backend methods, and client/transfer/download/transfer.go:19-37 generic download can replace lower-level network/engine work only through an adapter; none handles Git inventory, Terra/Globus policy, pointer cache, or `git add` refresh.	750	0	Local cmd/pull/main.go production file: Cmd/RunE:46-277; named helpers at :279 (`normalizeDRSPointerOID`), :286 (`strictAccessMethod`), :312 (`collectPointerFiles`), :336/:353 cache inspection/verification, :374 URI test, :379 progress context, :390/:398 conversions, :402 path matching, :424/:453 cache/object verification, :467 checksum, :481 objectSHA256, :498 placeholder persistence, :565/:577 glob matching, :603 checkout, :670 index refresh, :705 debug context, :746 flags. cmd/root.go:19,52 registers it; local call sites include lfs and internaltransfer at :60-253 and lookup at :159,527,712. Upstream symbols above are lower-level only.	Preserve dry-run/path glob ordering, DRS URI and SHA256 pointer identities, read-only Terra permissions, placeholder checksum persistence, access-method policy, progress, atomic verification, and Git-index clean-filter refresh.	go test ./cmd/pull: PASS.	high
SYMBOL:cmd/pull.RunE	Mixed symbol: the command combines Git-LFS worktree inventory and checkout/index mutation with reusable Syfon object lookup/access/download calls.	replace/direct-import reusable client calls only	Use upstream Client.DRS().GetObject/GetAccessURL and Client.Data()/client/transfer/download.DownloadToPathWithOptions where the existing remoteruntime and access-policy adapter can expose compatible backends; retain the command loop and all Git/file verification.	0	0	Local cmd/pull/main.go:46-277 calls internal lookup, internaltransfer, resolver, lfs.ObjectPath, and exec git; upstream client/client.go:218-233 exposes DRS/Data services and upstream download adapter:25-37 has no pointer inventory or Git checkout.	A direct swap must retain bulk prefetch, Globus grouping, expired-access refresh, placeholder metadata, read-only chmod, and `git add -- paths`; deleting command code would break Git pull semantics.	go test ./cmd/pull: PASS.	high
SYMBOL:cmd/pull.savePlaceholderChecksums	Mixed symbol: verifies downloaded placeholder bytes, reconciles local/remote DRS metadata, and persists SHA256 in the local object sidecar.	keep	No direct upstream replacement: upstream DRSService.GetObject at drs_service.go:22-30 can supply metadata, but sidecar writes, placeholder identity, and Git cache semantics are local.	0	0	Local cmd/pull/main.go:498-563 calls localdrsobject.ReadObject/WriteObject and lookup.ObjectsByHashForScope; upstream GetObject only returns a DrsObject and has no `.git/drs/lfs/objects` store.	Checksum reconciliation must remain before checkout and must reject mismatched remote metadata; moving it to server client would lose local cache durability.	go test ./cmd/pull: PASS, including TestSavePlaceholderChecksumsPersistsLocally.	high
cmd/push	The push command computes Git branch/synchronization refs, discovers reachable pointer objects, runs DRS metadata/upload synchronization with progress, pushes Git refs, and advances the DRS acknowledgement ref. keep (direct-import upload engine)	keep	Use upstream client/transfer/upload/orchestrator.go:28-37 `Upload` and :43-233 `RegisterFile` for per-file generic upload/register mechanics only after an adapter; retain batch/history/sync-ref/placeholder/Globus orchestration in git-drs.	350	0	Production files main.go (`Cmd` RunE:31-147, `init`:149, `discoverLfsFilesForPush`:154, `countUniqueOIDs`:178, `includeReachablePlaceholders`:190, `currentPushRefUpdates`:198, `getRemoteMergeBase`:222, `gitOutput`:248) and sync_refs.go (`syncRefState`:9, `resolveSyncRefState`:18, `readRemoteSyncRefs`:60, `readRemoteSyncRefsOutput`:68, `pushSyncAcknowledgment`:85); cmd/root.go:20,53 registers it; main.go:84-103 uses lfs history and internaltransfer.BatchSyncForPushWithSummary. Upstream upload orchestrator has generic `MultipartBackend`/`MetadataClient`, not Git refs or batch summary.	Preserve attached-branch requirement, remote/upstream ref mapping, `refs/git-drs/synced/*` lease, no-verify behavior, read-only remote rejection, force-upload, reachable placeholders, and retry-safe acknowledgement.	go test ./cmd/push: PASS.	high
SYMBOL:cmd/push.RunE	Mixed symbol: combines Git ref discovery and ack-ref publication with reusable Syfon metadata/upload synchronization.	replace/direct-import upload core only	Adapt upstream upload.Upload/RegisterFile through a per-file backend while keeping internaltransfer.BatchSyncForPushWithSummary until upstream provides batch existence checks, scoped reuse, placeholder handling, and progress summary.	0	0	Local cmd/push/main.go:58-147 resolves remoteruntime, sync refs, pointer history, and invokes internaltransfer at :102-103; upstream upload/orchestrator.go:43-218 registers one object/file and client/transfer/engine/uploader.go:123-151 handles generic transfer mechanics; neither reads Git refs.	A replacement must preserve deduped reachable-history scan, project authorization metadata, skip-if-downloadable logic, unavailable-object acknowledgement withholding, and final Git push ordering.	go test ./cmd/push: PASS.	high
cmd/rm	The rm command validates tracked LFS/DRS paths and invokes `git rm --` to stage their deletion. keep	keep	Upstream cmd/rm/main.go:19-58 removes server DRS records/scoped access through Index/DRS services, not local Git paths; it cannot replace this command.	58	0	Local cmd/rm/main.go:29-58 run scans lfs.GetTrackedLfsFiles and invokes runCommand("git", "rm", "--", paths); cmd/root.go:23,51 registers Cmd; only test injection replaces runCommand. Upstream server rm is behaviorally distinct.	Must preserve path normalization, tracked-pointer validation, one atomic `git rm --` invocation, and staging semantics; replacing with server deletion would be destructive and wrong.	go test ./cmd/rm: PASS.	high
cmd/smudge	The hidden smudge command implements one-shot Git-LFS pointer hydration with local cache passthrough, remote/ Terra resolver selection, and pointer passthrough when no remote exists. keep	keep (direct-import downloader only)	No upstream one-shot Git command; upstream client/services/data_stream.go:60-100 and client/transfer/download/transfer.go:19-37 can provide backend/download mechanics, but not stdin/stdout pointer protocol, skip-smudge, Terra URI normalization, or Git cache paths.	89	0	Local cmd/smudge/main.go:37-87 runSmudge loads config, remoteruntime, resolver, and calls internal/filter.SmudgeContent/internaltransfer.DownloadToCachePath; cmd/root.go:24,49 registers it; no other production importer. Upstream has no cmd/smudge.	Exact `filter.drs.smudge=git-drs smudge -- %f`, passthrough-on-no-remote, local cache first, and Terra `//` to `drs:` normalization are Git compatibility contracts.	go test ./cmd/smudge: PASS.	high
SYMBOL:cmd/smudge.runSmudge	Mixed symbol: owns Git stdin/stdout dispatch but delegates remote object transfer to the local transfer adapter.	keep	Retain runSmudge; only consider replacing internaltransfer.DownloadToCachePath with an adapter over upstream DataService/transfer/download once DRS URI and Terra behavior are explicitly preserved.	0	0	Local cmd/smudge/main.go:37-87; call sites are cmd/root.go:49 and internal/filter.SmudgeContent at :58,86; upstream DataService/GetReader and download engine have no pointer parser or no-remote passthrough.	Do not bypass local cache, `GIT_DRS_SKIP_SMUDGE`, or resolver selection; these determine checkout correctness and offline behavior.	go test ./cmd/smudge: PASS.	high
cmd/track	The track command adds/list Git-LFS tracking patterns through internal `.gitattributes` manipulation, with verbose and dry-run flags. keep	keep	No upstream Git repository helper; upstream client/access and transfer APIs do not own `.gitattributes` or Git-LFS tracking.	64	0	Local cmd/track/main.go:18-30 NewCommand and :33-64 runTrack; cmd/root.go:25,63 registers it; calls internal/gitrepo.TrackPatterns/ListTrackedPatterns; no other production importer.	Preserve `.gitattributes` escaping, dry-run behavior, and output text because add-url and existing repositories depend on Git-LFS tracking patterns.	go test ./cmd/track: PASS.	high
cmd/untrack	The untrack command removes Git-LFS tracking patterns through internal `.gitattributes` manipulation, with verbose and dry-run flags. keep	keep	No upstream replacement; Syfon client APIs have no Git attributes/tracking ownership.	56	0	Local cmd/untrack/main.go:15-27 NewCommand and :30-56 runUntrack; cmd/root.go:26,64 registers it; calls internal/gitrepo.UntrackPatterns; no other production importer.	Preserve pattern removal/escaping, minimum-argument validation, dry-run semantics, and output expected by Git workflows.	go test ./cmd/untrack: PASS.	high
cmd/version	The version command prints the git-drs binary label and build tag/commit-derived version. keep	keep	Upstream cmd/version/main.go:10-15 prints the Syfon server version package; it cannot replace the git-drs binary identity or build metadata policy.	54	0	Local cmd/version/main.go:12-18 defines Cmd and :20-54 buildVersion; cmd/root.go:27,44 registers it; no other production importer. Upstream version command is a different binary contract.	Preserve `git-drs` prefix, tag-commit formatting, `dev-<short>` fallback, and `dev-unknown` fallback for scripts.	go test ./cmd/version: PASS.	high
inventory	The public inventory package lists valid SHA256 Git-LFS pointers from a selected Git ref, normalizes paths/OIDs, excludes prefixes, and sorts results. keep	keep	No upstream Git-ref inventory; upstream transfer/download APIs operate on a resolved object/backend and do not read Git tree blobs or expose repository-relative pointer facts.	75	0	Local inventory/inventory.go:32-52 List, :56-64 normalizePrefixes, :67-74 excluded; no production call site found by `rg inventory.List` (public API is for consumers); it delegates to internal/lfs.GetReachablePointerFilesForRefInRepository at :33. Upstream client has no matching package/symbol.	Ref-vs-worktree semantics, SHA256-only filtering, excluded-prefix normalization, slash normalization, deterministic sort, and context cancellation are API behavior; deleting would remove a reusable Git-specific boundary.	go test ./inventory: PASS.	high
internal/testutils	Test-only helpers create temporary Git repositories/configuration and capture stdout; they are not production application code. keep (test support; exclude from production denominator)	keep (test support)	No upstream production replacement needed; do not count in removable production LOC.	0	0	Local internal/testutils/config.go:14 (`SetupTestGitRepo`), :48 (`CreateTestConfig`), :95 (`CreateDefaultTestConfig`) and output.go:13 (`CaptureStdout`) are imported only from *_test.go files; `rg` found no non-test production importer. Upstream client test helpers are unrelated.	Keep test isolation and config fixture behavior; removing would increase test duplication but has no CLI/Git runtime impact.	Referenced by focused tests; not run as a standalone package because it has no non-test files.	high
tests/monorepos	The monorepos tree contains fixture-generation code, integration tests, shell runners, Makefile targets, and checked-in large-file fixtures; it is test/fixture support, not a production Go package. keep (test support; exclude from production denominator)	keep (test support)	No upstream production replacement; fixture generator and integration runner remain local test infrastructure.	0	0	Local tests/monorepos/generate-fixtures.go:32 (`main`) and integration_test.go:20 (`TestMain`), :56 (`TestGitDrsShowsHelp`); Makefile/README/scripts define fixture workflows; no production imports and no upstream client counterpart.	Do not include fixture bytes or test harness LOC in production-removal estimates; monorepo fixtures exercise Git command compatibility externally.	No focused production package test; fixture integration requires its own Makefile/environment and was not run.	high
